no,admin1_bps_code,admin1_bps,status,date,title,source,type_source
15,11,ACEH,tutup,20 Agustus 2021,"Zona Merah Covid-19, Sekolah di Aceh Besar Diliburkan",https://aceh.tribunnews.com/2021/08/19/zona-merah-covid-19-sekolah-di-aceh-besar-diliburkan,news
16,11,ACEH,buka,23 September 2021,Hari Ini Sekolah di Banda Aceh Mulai Pembelajaran Tatap Muka,https://www.tribunnews.com/regional/2021/09/23/hari-ini-sekolah-di-banda-aceh-memulai-pembelajaran-tatap-muka,news
17,11,ACEH,buka,5 Januari 2022,Aminullah Tinjau Sekolah Tatap Muka Hari Pertama,https://perkim.bandaacehkota.go.id/2021/01/05/aminullah-tinjau-sekolah-tatap-muka-hari-pertama/,news
18,11,ACEH,buka,10 Januari 2022,Seluruh Sekolah di Aceh Singkil Kembali Belajar Secara Normal,https://www.acehtrend.com/news/seluruh-sekolah-di-aceh-singkil-kembali-belajar-secara-normal/index.html,news
19,51,BALI,tutup,15 Maret 2020,"Surat Edaran Sekretaris Daerah Provinsi Bali Nomor 09/SATGAS COVID19/III/2020 Tahun 2020
Pelaksanaan Pembelajaran Di Rumah",https://covid19.hukumonline.com/wp-content/uploads/2020/04/surat_edaran_sekretaris_daerah_provinsi_bali_nomor_09_satgas_covid19_iii_2020_tahun_2020-2.pdf,regulation
20,51,BALI,tutup,30 Maret 2020,"Surat Edaran Sekretaris Daerah Provinsi Bali Nomor 60/SATGAS COVID19/III/2020 Tahun 2020
Perpanjangan Pelaksanaan Pembelajaran Di Rumah",https://covid19.hukumonline.com/wp-content/uploads/2020/04/surat_edaran_sekretaris_daerah_provinsi_bali_nomor_60_satgas_covid19_iii_2020_tahun_2020-3.pdf,regulation
21,51,BALI,buka,14 September 2021,"Surat Edaran Gubernur Bali B.31.420/76560/DIKPORA
Pelaksanaan Pembelajaran Pada Masa Pandemi Covid-19 Di Provinsi Bali",https://jdih.baliprov.go.id/produk-hukum/peraturan-perundang-undangan/surat-edaran-gubernur-bali/28770,regulation
22,51,BALI,buka,15 September 2021,"Sekolah di Bali Dibolehkan Gelar PTM, Siswa Diberi Opsi Belajar Daring",https://www.merdeka.com/peristiwa/sekolah-di-bali-dibolehkan-gelar-ptm-siswa-diberi-opsi-belajar-daring.html,news
23,51,BALI,buka,21 September 2021,Bali Mulai Berlakukan Sekolah Tatap Muka Terbatas,https://mediaindonesia.com/nusantara/434392/bali-mulai-berlakukan-sekolah-tatap-muka-terbatas,news
24,51,BALI,buka,7 Januari 2022,Pembelajaran Tatap Muka Terbatas di Bali Mulai Digelar,https://www.merdeka.com/peristiwa/pembelajaran-tatap-muka-terbatas-di-bali-mulai-digelar.html,news
25,51,BALI,tutup,4 Februari 2022,"Kasus Covid-19 Melonjak Pesat, Bali Hentikan Seluruh PTM",https://www.idxchannel.com/economics/kasus-covid-19-melonjak-pesat-bali-hentikan-seluruh-ptm,news
26,51,BALI,tutup,7 Februari 2022,"Kasus COVID-19 Bali Tembus 9.887, Koster Berhentikan PTM",https://news.detik.com/berita/d-5931476/kasus-covid-19-bali-tembus-9887-koster-berhentikan-ptmm,news
27,51,BALI,buka,1 April 2022,"PTM 100% di Bali Kembali Dibuka, Sebagian Besar Sekolah Masih Tetap Belajar Daring",https://baliportalnews.com/2022/03/kota-denpasar-siap-laksanakan-ptm-per-1-april-2022/,news
28,51,BALI,buka,4 April 2022,In Picture: Bali Kembali Terapkan Pembelajaran Tatap Muka,https://www.republika.co.id/berita/r9tl42314/bali-kembali-terapkan-pembelajaran-tatap-muka,news
29,36,BANTEN,tutup,15 Maret 2020,"Banten Tetapkan KLB Virus Corona, Sekolah Diliburkan",https://nasional.tempo.co/read/1319654/banten-tetapkan-klb-virus-corona-sekolah-diliburkan,news
30,36,BANTEN,buka,1 September 2021,Sekolah Tatap Muka di Banten Mulai 1 September 2021,https://www.infoindonesia.id/read/2021/08/30/6877/sekolah-tatap-muka-di-banten-mulai-1-september-2021,news
31,36,BANTEN,buka,7 September 2021,"Mulai PTM 50%, Gubernur Banten Tinjau Sekolah",https://www.jurnaljabar.id/bewara/mulai-ptm-50-gubernur-banten-tinjau-sekolah-b2cAv9cSx,news
32,36,BANTEN,tutup,4 Oktober 2021,Gubernur Banten Tutup Sementara Sekolah di Kota Tangerang karena Siswa Positif Covid-19 ,https://banten.tribunnews.com/2021/10/05/gubernur-banten-tutup-sementara-sekolah-di-kota-tangerang-karena-siswa-positif-covid-19,news
33,36,BANTEN,tutup,25 Januari 2022,Pemerintah Kota Tangerang Hentikan Sementara Pembelajaran Tatap Muka,https://www.tvonenews.com/daerah/banten/24467-pemerintah-kota-tangerang-hentikan-sementara-pembelajaran-tatap-muka,news
34,36,BANTEN,tutup,25 Januari 2022,"Kasus Positif COVID-19 di Kota Tangerang Meningkat, PJJ Kembali Diterapkan",https://www.tangerangkota.go.id/berita/detail/29643/kasus-positif-covid-19-di-kota-tangerang-meningkat-pjj-kembali-diterapkan,news
35,36,BANTEN,tutup,2 Februari 2022,"Kasus Covid-19 Melonjak, Pembelajaran Tatap Muka SMA & SMK di Tangerang Raya Disetop",https://regional.kontan.co.id/news/kasus-covid-19-melonjak-pembelajaran-tatap-muka-sma-smk-di-tangerang-raya-disetop,news
36,36,BANTEN,tutup,2 Februari 2022,Gubernur Banten: Tangerang Raya Setop PTM 100 Persen,https://www.cnnindonesia.com/nasional/20220202154342-20-754136/gubernur-banten-tangerang-raya-setop-ptm-100-persen,news
37,36,BANTEN,buka,8 Maret 2022,"Kasus COVID-19 Melandai, SD-SMA di Banten Bisa PTM 50%",https://news.detik.com/berita/d-5973827/kasus-covid-19-melandai-sd-sma-di-banten-bisa-ptm-50,news
38,36,BANTEN,buka,9 Maret 2022,Pemprov Banten Izinkan SMA di Tangerang Raya Gelar PTM Terbatas,https://www.beritasatu.com/megapolitan/900413/pemprov-banten-izinkan-sma-di-tangerang-raya-gelar-ptm-terbatas,
39,36,BANTEN,buka,7 April 2022,"Surat Edaran Kepala Dinas Pendidikan Dan Kebudayaan Provinsi Banten Nomor 421/0764-Dindikbud/ 2022
Mulai 7 April 2022, SMA, SMK Dan SKH Negeri Dan Swasta Di Banten Terapkan PTM 100 Persen","https://dindikbud.bantenprov.go.id/index.php/artikel/343-mulai-7-april-2022,-sma,-smk-dan-skh-negeri-dan-swasta-di-banten-terapkan-ptm-100-persen.html",regulation
40,17,BENGKULU,tutup,16 Maret 2020,"Antisipasi Corona, Pemkab Bengkulu Selatan Liburkan Sekolah",https://covid19.bengkuluselatankab.go.id/antisipasi-corona-pemkab-bengkulu-selatan-liburkan-sekolah/,news
41,17,BENGKULU,buka,15 Februari 2021,"Gubernur Bengkulu Keluarkan Surat Edaran, Sekolah Tatap Muka Dimulai Pekan Depan",https://www.jpnn.com/news/gubernur-bengkulu-keluarkan-surat-edaran-sekolah-tatap-muka-dimulai-pekan-depa,news
42,17,BENGKULU,buka,16 Agustus 2021,Kegiatan Tatap Muka Mulai di Terapkan 50%,https://disdik.bengkulukota.go.id/kegiatan-tatap-muka-mulai-di-terapkan-50/,news
43,17,BENGKULU,buka,26 Agustus 2021,"Senin, Bengkulu Utara Mulai Gelar KBM Tatap Muka",https://rubriknews.com/senin-bengkulu-utara-mulai-gelar-kbm-tatap-muka/,news
